age,gender,hand,year,local,Major,sec_major,dataexp,expect,instructor,pols,travel,travel2,exercise,Chips,Chocolate,Berries,Nuts,Cookies,Veggies,mint,swift,musk,trump,beast,pelosi,haley,kattan,bazos,ama,youtube,disney,movie,ideo,media,value,trait,trait_6_TEXT,dem1,dem2,Amdem,congress,judicial,public,futuredem
19,Male,Right,Freshman,Town (like Savoy),Political Science,Sociology,A little bit,"I chose this course, and I'm excited",No,Probably yes,10,0,2,2,3,1,5,4,6,Yes,65,35,10,100,55,60,50,35,1,YouTube algorithm reigns over my life,Santa Clause,Home Alone,Slightly Liberal,Social Media,Equality of Opportunity,Honesty,,The freedom to express yourself in an honest system,Free and Fair Elections,60,35,35,50,70
23,Male,Right,Senior,Major Suburb (like Sub of Chicago),Political Science,,A little bit,"I chose this course, and I'm excited",No,Definitely yes,1,3,Less than 1,1,3,4,6,2,5,Yes,50,0,0,60,30,5,47,45,Fewer than 1,YouTube algorithm reigns over my life,Tom (from Tom and Jerry),John Wick,Slightly Liberal,News Website or App,Freedom from Oppression,Honesty,,Democracy is for the people by the people,Free and Fair Elections,35,5,30,60,45
20,Female,Right,Sophomore,Major Suburb (like Sub of Chicago),Statistics,Political Science,A little bit,"I chose this course, and I'm excited",No,Probably yes,18,7,4,6,4,1,3,2,5,No,100,5,0,90,50,,80,3,Fewer than 1,Less than 1,Santa Clause,Love Actually,Slightly Liberal,Social Media,Equality of Opportunity,Justice,,a form of government in which citizens hold political power which they can demonstrate by voting in fair elections ,Free and Fair Elections,70,60,75,55,60
20,Female,Right,Sophomore,Major City (like Chicago),Political Science,,Moderate,"I chose this course, and I'm excited",No,Definitely yes,6,5,3,2,4,1,6,3,5,Yes,50,50,50,,50,,,,Fewer than 1,Less than 1,Tom (from Tom and Jerry),The Grand Budapest Hotel,Slightly Liberal,News Website or App,Freedom of Expression,Charisma,,"In my understanding, democracy means when the power of government becomes too strong and it starts to harm people, people are free to express their complaints and have a chance to kick the terrible leaders out of the room where it happens and establish new governing structures. Though in most cases, people’s opinions are not always right, but I hope there’s always an effective system(eg. ethics, law…) to help people make rational choices",Rule of Law,75,60,100,60,75
21,Female,Right,Junior,Major Suburb (like Sub of Chicago),,,Not at all,"I chose this course, and I'm excited",No,Probably yes,27,15,2,5,2,1,6,3,4,No,20,71,50,71,40,,,85,1,3,Carpet (from Aladin),Home Alone,Moderate,Social Media,Equality of Opportunity,Justice,,"Where everyone has the same given opportunities, free from corruption.",Majority Rule,19,19,20,20,10
18,Female,Right,Freshman,Major Suburb (like Sub of Chicago),Political Science,Business and Psychology,A little bit,"I chose this course, and I'm excited",No,Definitely yes,15,9,More than 5,1,3,5,6,2,4,Yes,70,40,30,65,35,,,25,Fewer than 1,Less than 1,Owl (from Harry Potter),The Grand Budapest Hotel,Slightly Liberal,News Website or App,Equality of Opportunity,Charisma,,"A democracy is a government that promotes equal opportunity for citizens to be heard, elect leaders that truly represent their views,  and a legislative system that can codify laws to reflect what the majority of society wants.",Free and Fair Elections,70,65,75,70,80
18,Female,Right,Freshman,Town (like Savoy),Political Science,Communication,Not at all,"I chose this course, and I'm excited",No,Probably yes,22,3,3,1,2,4,3,5,6,Yes,100,20,0,,30,20,,24,1,Less than 1,Owl (from Harry Potter),Home Alone,Slightly Liberal,Social Media,Equality of Outcome,Hard-Working,,I believe democracy is the ability to have your beliefs heard share them ,Free and Fair Elections,45,45,45,50,65
20,Female,Right,Junior,Major Suburb (like Sub of Chicago),Political Science,,Moderate,"I chose this course, and I'm excited",No,Might or might not,25,2,4,4,2,1,6,5,3,Yes,10,15,5,20,5,6,30,25,Fewer than 1,Less than 1,Santa Clause,Home Alone,Moderate,News Website or App,Equality of Opportunity,Honesty,,Democracy is a system of government that is representative of the needs and wants of constituents in a nation ,Equal Representation,25,20,35,5,2
19,Male,Right,Sophomore,Major Suburb (like Sub of Chicago),Political Science ,,Not at all,"I chose this course among many options, but I have my doubts",Yes,Probably yes,13,5,More than 5,3,1,4,6,2,5,Yes,40,57,0,69,50,50,50,78,Fewer than 1,Less than 1,Santa Clause,Home Alone,Slightly Liberal,Social Media,Equality of Opportunity,Honesty,,A system if government where every citizen gets a say in the running of the state. ,Free and Fair Elections,50,61,66,36,38
19,Female,Right,Freshman,Major Suburb (like Sub of Chicago),Psychology,Political Science,Moderate,I think this course will be the highlight of this semester,No,Probably yes,11,5,2,5,1,2,6,3,4,Yes,85,10,5,50,50,25,,0,Fewer than 1,Less than 1,Santa Clause,Home Alone,Slightly Liberal,News Website or App,Freedom from Oppression,Other,Morality,I would define democracy as a system in which each citizen has a voice of equal weight that contributes to the system's functions as a whole. ,Equal Representation,40,25,55,70,35
